"","Neighborhood","mean_lat","mean_lon"
"1","Bedford Park",40.8706534,-73.882436
"2","Country Club",40.8633606666667,-73.8369833333333
"3","Eastchester",40.873783,-73.8272025
"4","Fordham",40.8656365,-73.893985
"5","High Bridge",40.8371636666667,-73.9189266666667
"6","Hunts Point",40.818182,-73.8886983333333
"7","Morris Park",40.84867075,-73.85613
"8","Mott Haven",40.8136165,-73.90846
"9","Parkchester",40.8450184,-73.858594
"10","Riverdale",40.8847233333333,-73.8934433333333
"11","Soundview",40.828448,-73.87453
"12","South Bronx",40.82771375,-73.89585125
"13","Throggs Neck",40.83233275,-73.843315
"14","Tremont",40.8512195,-73.89498
"15","Union Port",40.831948,-73.848342
"16","University Heights",40.86707,-73.9062633333333
"17","Wakefield-Williamsbridge",40.88312175,-73.856115
"18","Williams Bridge",40.8491625,-73.8455875
"19","Woodlawn-Norwood",40.89116575,-73.870145
