LICENSE_NBR,LIC_STATUS,BUSINESS_NAME,BUSINESS_NAME2,BUILDING,STREET,CITY,STATE,ZIP,SWC_TYPE,SWC_SQ_FT,SWC_TABLES,SWC_CHAIRS,DOHMH,LATITUDE,LONGITUDE,COMMUNITY_DISTRICT,CITY_COUNCIL_DISTRICT,CD_URL,APP_ID,APP_SWC_TYPE,APP_SQ_FT,APP_TABLES,APP_CHAIRS,APP_STATUS,APP_STATUS_DATE,EXPIRATION_DATE,APP_TOO_DATE,SUBMIT_DATE,INTAKE,INTAKE_DD,DPQA,SEND_PACKAGE_DD,CP,CP_DD,CB,CB_DD,HEARING,HEARING_DD,HEARING_PUBLIC,HEARING_PUBLIC_DD,CC,CC_DD,MOO,MOO_DD,ISSUANCE,ISSUANCE_DD
2018722-DCA,Active,EAT MADISON 91 LLC,,26,E 91ST ST,NEW YORK,NY,10128,Small Unenclosed,291,8,28,50017536,40.78394475796219,-73.9569605031879,108,4,http://www.cb8m.com/,297-2015-ASWC,Small Unenclosed,291,8,28,Application Review Completed,05/12/2015,12/15/2017,,01/09/2015,Ready For Review,01/23/2015,Approved,01/23/2015,,,Recommend Approval,02/27/2015,Recommendation Issued,02/27/2015,SWC Public Hearing,,Approved,05/12/2015,Approved,05/12/2015,Issued,05/12/2015
2028881-DCA,Active,3 EAST 48TH ST,PJ MORAN'S,3,E 48TH ST,NEW YORK,NY,10017,Small Unenclosed,75,2,6,40384222,40.75725803143689,-73.97762438621344,105,4,http://www.cb5.org,10865-2015-ASWC,Small Unenclosed,75,2,6,Application Review Completed,11/24/2015,04/15/2017,,08/04/2015,Ready For Review,08/06/2015,Approved,09/29/2015,Pending Review,08/06/2015,Review Period Expired,09/23/2015,Recommendation Issued,09/23/2015,SWC Public Hearing,09/23/2015,Approved,11/24/2015,Approved,11/24/2015,Issued,11/24/2015
1421925-DCA,Active,"ENOLOGO, INC.",ENOLOGO,857,9TH AVE,NEW YORK,NY,10019,Unenclosed,44,2,4,41645205,40.76713500057873,-73.9865199335247,104,3,http://www.nyc.gov/mcb4,4462-2016-RSWC,Unenclosed,44,2,4,Application Review Completed,08/03/2016,04/15/2018,,03/21/2016,Ready For Review,03/21/2016,Approved,06/07/2016,Pending Review,03/21/2016,Review Period Expired,05/12/2016,Waived,05/25/2016,,,Approved,08/03/2016,Approved,08/03/2016,Issued,08/03/2016
2038114-DCA,Active,FOOTPRINTS CAFE INC.,,5814,CLARENDON RD,BROOKLYN,NY,11203,Unenclosed,184,8,16,40765947,40.64495577754071,-73.92112348545241,317,45,http://www.nyc.gov/html/cau/html/cb/cb.shtml,3432-2016-ASWC,Unenclosed,184,8,16,Application Review Completed,06/28/2016,12/15/2018,,03/22/2016,Ready For Review,03/22/2016,Approved,06/07/2016,Pending Review,03/26/2016,Review Period Expired,05/16/2016,Recommendation Issued,05/25/2016,SWC Public Hearing,05/11/2016,Approved,06/28/2016,Approved,06/28/2016,Issued,06/28/2016
2020669-DCA,Active,TOZZER LTD,NIAGRA,110,AVENUE A,NEW YORK,NY,10009,Unenclosed,234,10,20,40394007,40.7258316236478,-73.98349769427189,103,2,http://www.nyc.gov/manhattancb3,32281-2016-RSWC,Unenclosed,234,10,20,Pending Review,02/23/2017,06/01/2017,06/01/2017,12/21/2016,Ready For Review,12/21/2016,Issued Temp Op Letter,12/21/2016,Pending Review,12/21/2016,Review Period Expired,02/10/2017,Waived,02/23/2017,,,Review Period Expired,03/16/2017,Pending Review,,Pending Review,
1424566-DCA,Active,"ZOSSIMA, INC.",DOMA NA ROHU,27 1/2,MORTON ST,NEW YORK,NY,10014,Unenclosed,133,6,12,41651711,40.73115754401356,-74.00452099729092,102,3,http://www.nyc.gov/manhattancb2,12462-2016-RSWC,Unenclosed,133,6,12,Application Review Completed,09/16/2016,09/15/2018,,09/16/2016,Ready For Review,09/16/2016,Approved,,Proceed,09/16/2016,Recommend Approval,09/16/2016,Waived,09/16/2016,,,Approved,09/16/2016,Approved,09/16/2016,Issued,09/16/2016
2013213-DCA,Inactive,"WILLIE O'S ENTERPRISE, INC.",,3118,BROADWAY,ASTORIA,NY,11106,Unenclosed,175,8,20,50012582,40.76145722380203,-73.92502486692842,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,25910-2015-RSWC,Unenclosed,175,8,20,Pending Review,09/03/2015,12/15/2015,12/15/2015,09/02/2015,Ready For Review,09/02/2015,Under Review,10/15/2015,Pending Review,09/02/2015,Review Period Expired,10/15/2015,Waived,10/15/2015,,,Filed Recommendation,10/15/2015,Pending Review,,Pending Review,
2042121-DCA,Active,LITTLE WEST RESTAURANT LLC.,PATHOS,932,1ST AVE,NEW YORK,NY,10022,Unenclosed,190,6,12,50036720,40.754534973206276,-73.9654255128475,106,4,http://cbsix.org,5013-2016-ASWC,Unenclosed,190,6,12,Application Review Completed,09/15/2016,04/15/2018,,04/19/2016,Ready For Review,04/19/2016,Approved,08/08/2016,Pending Review,04/19/2016,Review Period Expired,06/09/2016,Recommendation Issued,08/08/2016,SWC Public Hearing,06/08/2016,Approved,09/15/2016,Approved,09/15/2016,Issued,09/15/2016
2028884-DCA,Active,VILLAGE RESTAURANT GROUP LLC,HUDSON CLEARWATER,447,HUDSON ST,NEW YORK,NY,10014,Unenclosed,138,6,12,41489751,40.73109155414742,-74.00686267225602,102,3,http://www.nyc.gov/manhattancb2,10400-2015-ASWC,Unenclosed,138,6,12,Application Review Completed,11/02/2015,12/15/2017,,07/24/2015,Ready For Review,07/24/2015,Approved,09/29/2015,Pending Review,07/27/2015,Review Period Expired,09/16/2015,Recommendation Issued,09/16/2015,SWC Public Hearing,09/16/2015,Approved,11/02/2015,Approved,11/02/2015,Issued,11/02/2015
2039148-DCA,Inactive,MFM BRANDY LLC,COPPER & OAK,157,ALLEN ST,NEW YORK,NY,10002,Unenclosed,52,2,5,50011673,40.721064699530366,-73.98968228717756,103,1,http://www.nyc.gov/manhattancb3,5197-2016-ASWC,Unenclosed,52,2,5,Application Review Completed,09/08/2016,12/15/2018,,04/22/2016,Ready For Review,04/22/2016,Approved,06/20/2016,Pending Review,04/22/2016,Recommend Approval,06/01/2016,Recommendation Issued,06/17/2016,SWC Public Hearing,06/08/2016,Approved,09/08/2016,Approved,09/08/2016,Issued,09/08/2016
