LICENSE_NBR,LIC_STATUS,BUSINESS_NAME,BUSINESS_NAME2,BUILDING,STREET,CITY,STATE,ZIP,SWC_TYPE,SWC_SQ_FT,SWC_TABLES,SWC_CHAIRS,DOHMH,LATITUDE,LONGITUDE,COMMUNITY_DISTRICT,CITY_COUNCIL_DISTRICT,CD_URL,APP_ID,APP_SWC_TYPE,APP_SQ_FT,APP_TABLES,APP_CHAIRS,APP_STATUS,APP_STATUS_DATE,EXPIRATION_DATE,APP_TOO_DATE,SUBMIT_DATE,INTAKE,INTAKE_DD,DPQA,SEND_PACKAGE_DD,CP,CP_DD,CB,CB_DD,HEARING,HEARING_DD,HEARING_PUBLIC,HEARING_PUBLIC_DD,CC,CC_DD,MOO,MOO_DD,ISSUANCE,ISSUANCE_DD
1164852-DCA,Active,MULBERRY STREET BAR LLC,MULBERRY STREET BAR,176 1/2,MULBERRY ST,NEW YORK,NY,10013,Unenclosed,199,4,16,41022989,40.7201735,-73.9968321,0,0,http://www.nyc.gov/html/cau/html/cb/cb.shtml,24589-2016-RSWC,Unenclosed,199,4,16,Application Review Completed,1/17/2017,12/15/2018,,11/29/2016,Ready For Review,11/29/2016,Approved,,Proceed,1/17/2017,Review Period Expired,1/17/2017,Waived,1/17/2017,,,Approved,1/17/2017,Approved,1/17/2017,Issued,1/17/2017
1461135-DCA,Inactive,OVERTIME 1ST AVENUE CORP,PRIME ONE 16 E.HARLEM NYC,2257,1 AVENUE,NEW YORK,NY,10029,Unenclosed,266,16,32,41721716,40.795939,-73.935703,0,0,http://www.nyc.gov/html/cau/html/cb/cb.shtml,16383-2015-RSWC,Unenclosed,266,16,32,Application Review Completed,8/20/2015,4/15/2017,,4/15/2015,Ready For Review,4/15/2015,Approved,7/8/2015,,,Recommend Denial,6/1/2015,Recommendation Issued,7/2/2015,SWC Public Hearing,,Approved,8/10/2015,Approved,8/10/2015,Issued,8/10/2015
1079876-DCA,Active,"PANEANTICO BAKERY CAFE, INC.",,9124,3RD AVE,BROOKLYN,NY,11209,Unenclosed,427,16,32,40750062,40.61949826,-74.03284757,310,43,http://www.bkcb10.org/,25331-2015-RSWC,Unenclosed,427,16,32,Application Review Completed,11/13/2015,9/15/2017,,8/14/2015,Ready For Review,8/14/2015,Approved,8/14/2015,Pending Review,8/14/2015,Review Period Expired,10/4/2015,Waived,10/13/2015,,,Review Period Expired,11/3/2015,Approved,11/13/2015,Issued,11/13/2015
1139335-DCA,Active,THE 8801 CORP.,CEBU,8801,3RD AVE,BROOKLYN,NY,11209,Unenclosed,575,19,39,40859014,40.62187837,-74.03154113,310,43,http://www.bkcb10.org/,5052-2016-RSWC,Unenclosed,575,19,39,Application Review Completed,3/24/2016,4/15/2018,,3/24/2016,Ready For Review,3/24/2016,Approved,,Proceed,3/24/2016,Review Period Expired,3/24/2016,Waived,3/24/2016,,,Approved,3/24/2016,Approved,3/24/2016,Issued,3/24/2016
1179946-DCA,Active,PER TAVERN CORP.,KETTLE BLACK,8622,3RD AVE,BROOKLYN,NY,11209,Enclosed,346,11,30,41035072,40.62289947,-74.03137951,310,43,http://www.bkcb10.org/,12940-2014-RSWC,Enclosed,346,11,30,Application Review Completed,3/9/2017,5/15/2018,6/30/2017,7/16/2014,Ready For Review,7/16/2014,Approved,5/3/2016,Proceed Objections Cured,3/18/2016,Review Period Expired,3/19/2016,Waived,5/2/2016,,,Approved,2/8/2017,Approved,2/8/2017,Issued,3/9/2017
1449171-DCA,Active,ABI GROUP LLC,,8530,3RD AVE,BROOKLYN,NY,11209,Enclosed,545,11,42,41688951,40.62370378,-74.03107369,310,43,http://www.bkcb10.org/,8488-2016-RSWC,Enclosed,545,11,42,Pending Review,3/10/2017,4/5/2017,4/5/2017,5/23/2016,Ready For Review,5/23/2016,Issued Temp Op Letter,5/25/2016,Proceed,3/10/2017,Review Period Expired,3/11/2017,Pending Review,3/11/2017,SWC Public Hearing,4/26/2017,Pending Review,3/8/2017,Pending Review,3/8/2017,Pending Review,
2037225-DCA,Active,ROCCO'S BROOKLYN BAKERY INC,PASTICCERIA ROCCO,9402,4TH AVE,BROOKLYN,NY,11209,Unenclosed,212,7,14,50018845,40.61658109,-74.03089028,310,43,http://www.bkcb10.org/,2680-2016-ASWC,Unenclosed,212,7,14,Application Review Completed,7/26/2016,4/15/2018,,3/9/2016,Ready For Review,3/9/2016,Approved,5/10/2016,Pending Review,3/11/2016,Review Period Expired,5/1/2016,Recommendation Issued,5/6/2016,SWC Public Hearing,4/27/2016,Approved,7/26/2016,Approved,7/26/2016,Issued,7/26/2016
0858542-DCA,Inactive,AREO RESTAURANT CORP.,,8420,3RD AVE,BROOKLYN,NY,11209,Unenclosed,116,7,14,40387787,40.62456848,-74.03073547,310,43,http://www.bkcb10.org/,7038-2015-RSWC,Unenclosed,116,7,14,Application Review Completed,5/21/2015,12/15/2016,6/25/2015,2/19/2015,Ready For Review,2/19/2015,Approved,2/19/2015,,,Recommend Approval,3/23/2015,Recommendation Issued,4/13/2015,SWC Public Hearing,,Approved,5/19/2015,Approved,5/19/2015,Issued,5/21/2015
2037223-DCA,Active,NANCE CORP.,CAFFE CAFE,8401,3RD AVE,BROOKLYN,NY,11209,Unenclosed,227,15,34,50044515,40.62490616,-74.03045824,310,43,http://www.bkcb10.org/,2254-2016-ASWC,Unenclosed,227,15,34,Application Review Completed,7/12/2016,9/15/2018,,3/1/2016,Ready For Review,3/1/2016,Approved,6/7/2016,Pending Review,3/3/2016,Review Period Expired,4/23/2016,Recommendation Issued,4/27/2016,SWC Public Hearing,4/20/2016,Approved,7/12/2016,Approved,7/12/2016,Issued,7/12/2016
1360215-DCA,Inactive,TANOREEN CATERERS INC.,TANOREEN,7523,3RD AVE,BROOKLYN,NY,11209,Enclosed,222,4,16,41431607,40.63079166,-74.02781654,310,43,http://www.bkcb10.org/,11569-2014-RSWC,Enclosed,222,4,16,Application Review Completed,8/20/2015,5/15/2016,,6/5/2014,Ready For Review,6/5/2014,Approved,7/8/2015,Proceed,5/18/2015,Review Period Expired,6/1/2015,Waived,7/2/2015,,,Approved,8/10/2015,Approved,8/10/2015,Issued,8/10/2015
