"","ZIP","LICENSE_NBR","LIC_STATUS","BUSINESS_NAME","BUSINESS_NAME2","BUILDING","STREET","CITY","STATE","SWC_TYPE","SWC_SQ_FT","SWC_TABLES","SWC_CHAIRS","DOHMH","LATITUDE","LONGITUDE","COMMUNITY_DISTRICT","CITY_COUNCIL_DISTRICT","CD_URL","APP_ID","APP_SWC_TYPE","APP_SQ_FT","APP_TABLES","APP_CHAIRS","APP_STATUS","APP_STATUS_DATE","EXPIRATION_DATE","APP_TOO_DATE","SUBMIT_DATE","INTAKE","INTAKE_DD","DPQA","SEND_PACKAGE_DD","CP","CP_DD","CB","CB_DD","HEARING","HEARING_DD","HEARING_PUBLIC","HEARING_PUBLIC_DD","CC","CC_DD","MOO","MOO_DD","ISSUANCE","ISSUANCE_DD","BOROUGH","STATUS_CLASSIFICATION","STATUS_CLASSIFICATION2","percentile","superzip","rank","city.x","state.x","adultpop","households","college","income.","area","avg","city.y","state.y","latitude","longitude","nbh","SUBMIT_YEAR"
"1",11101,"1275009-DCA","Active","40-01 NORTHERN BOULEVARD CORP.",NA,"4001","NORTHERN BLVD","LONG ISLAND CITY","NY","Enclosed",1044,30,60,"40685229",40.75286272,-73.92394814,401,26,"http://www.nyc.gov/html/qnscb1/html/home/home.shtml","143-2013-RSWC","Enclosed",1044,30,60,"Application Review Completed",2017-03-13,2017-05-15,NA,2015-06-04,NA,NA,"Approved","6/7/2016","Proceed","5/25/2016","Recommend Approval","5/25/2016","Waived","5/25/2016",NA,NA,"Approved","3/13/2017","Approved","3/13/2017","Issued","3/13/2017","QUEENS","ACTIVE","ACTIVE",23.32383,0,15370,"Long Island City","NY",16409,5625,"20.60%",38.7624,"Astoria & Long Island City",51.10682,"Long Island City","NY",40.745341,-73.93907,"Long Island City",2015
"2",11101,"2025635-DCA","Active","4819 VERNON KITCHEN LLC","BAREBURGER","4819","VERNON BLVD","LONG ISLAND CITY","NY","Unenclosed",379,20,40,"50032620",40.74347498,-73.95363046,402,26,"http://www.cb2queens.org/","5669-2015-ASWC","Unenclosed",379,20,40,"Application Review Completed",2015-08-20,2017-04-15,NA,2015-04-28,"Ready For Review","4/30/2015","Approved","5/1/2015",NA,NA,"Recommend Approval","6/17/2015","Recommendation Issued","6/17/2015","SWC Public Hearing",NA,"Review Period Expired","8/4/2015","Approved","8/10/2015","Issued","8/13/2015","QUEENS","ACTIVE","ACTIVE",23.32383,0,15370,"Long Island City","NY",16409,5625,"20.60%",38.7624,"Astoria & Long Island City",51.10682,"Long Island City","NY",40.745341,-73.93907,"Long Island City",2015
"3",11101,"2044520-DCA","Active","BORDEN AVENUE GROUP INC","CRABHOUSE LIC","203","BORDEN AVE","LONG ISLAND CITY","NY","Enclosed",375,14,28,"50050977",40.74237348,-73.95859686,402,26,"http://www.cb2queens.org/","13278-2016-ASWC","Enclosed",375,14,28,"Pending Review",2017-03-04,2017-05-31,"5/31/2017",2016-09-19,"Ready For Review","9/19/2016","Issued Temp Op Letter","9/19/2016","Pending Review","10/18/2016","Pending Review","9/19/2016","Pending Review",NA,NA,NA,"Pending Review",NA,"Pending Review",NA,"Pending Review",NA,"QUEENS","RENEWAL","ACTIVE",23.32383,0,15370,"Long Island City","NY",16409,5625,"20.60%",38.7624,"Astoria & Long Island City",51.10682,"Long Island City","NY",40.745341,-73.93907,"Long Island City",2016
"4",11101,"1280217-DCA","Active","CALOUNE CORP.",NA,"5012","VERNON BLVD","LONG ISLAND CITY","NY","Unenclosed",112,4,8,"40880194",40.74240756,-73.95435656,402,26,"http://www.cb2queens.org/","5945-2016-RSWC","Unenclosed",112,4,8,"Application Review Completed",2016-06-29,2018-04-15,NA,2016-04-04,"Ready For Review","4/5/2016","Approved","6/7/2016","Pending Review","4/5/2016","Recommend Approval","5/25/2016","Waived","5/25/2016",NA,NA,"Approved","6/29/2016","Approved","6/29/2016","Issued","6/29/2016","QUEENS","ACTIVE","ACTIVE",23.32383,0,15370,"Long Island City","NY",16409,5625,"20.60%",38.7624,"Astoria & Long Island City",51.10682,"Long Island City","NY",40.745341,-73.93907,"Long Island City",2016
"5",11101,"1229988-DCA","Inactive","MANETTA'S FINE FOOD CORP.","MANETTAS RISTORANTE","1076","JACKSON AVE","LONG ISLAND CITY","NY","Unenclosed",242,13,27,"40393985",40.74268652,-73.95188797,402,26,"http://www.cb2queens.org/","12707-2015-RSWC","Unenclosed",242,13,27,"Application Review Completed",2015-08-20,2016-12-15,"7/5/2015",2015-03-19,"Ready For Review","3/19/2015","Approved","3/19/2015",NA,NA,"Recommend Approval","5/11/2015","Recommendation Issued","5/11/2015","SWC Public Hearing",NA,"Review Period Expired","6/1/2015","Approved","6/22/2015","Issued","6/22/2015","QUEENS","OLD","OLD",23.32383,0,15370,"Long Island City","NY",16409,5625,"20.60%",38.7624,"Astoria & Long Island City",51.10682,"Long Island City","NY",40.745341,-73.93907,"Long Island City",2015
"6",11101,"2005314-DCA","Active","DUTCH KILLS RESTORATION CORP.","DUTCH KILLS CENTRAAL","3840","29TH ST","LONG ISLAND CITY","NY","Unenclosed",388,7,28,"50000749",40.75373917,-73.93429518,401,26,"http://www.nyc.gov/html/qnscb1/html/home/home.shtml","30892-2016-RSWC","Unenclosed",388,7,28,"Pending Review",2017-03-13,2017-04-01,"4/1/2017",2016-12-15,"Ready For Review","12/15/2016","Issued Temp Op Letter","2/17/2017","Pending Review","12/15/2016","Review Period Expired","2/5/2017","Waived","2/14/2017",NA,NA,"Filed Recommendation","2/17/2017","Pending Review",NA,"Pending Review",NA,"QUEENS","RENEWAL","ACTIVE",23.32383,0,15370,"Long Island City","NY",16409,5625,"20.60%",38.7624,"Astoria & Long Island City",51.10682,"Long Island City","NY",40.745341,-73.93907,"Long Island City",2016
"7",11101,NA,"Inactive","Astoria Apple, LLC","Applebees","3801","35TH AVE","ASTORIA","NY","Unenclosed",NA,6,16,"41552243",40.75545847,-73.92278293,401,26,"http://www.nyc.gov/html/qnscb1/html/home/home.shtml","2938-2016-ASWC","Unenclosed",NA,6,16,"Pending Review",2016-07-07,NA,NA,2016-03-14,"Ready For Review","3/18/2016","Review Completed","3/23/2017","Pending Review","7/7/2016","Recommend Approval","7/27/2016","Recommendation Issued","8/31/2016","SWC Public Hearing","8/24/2016","Filed Recommendation","3/23/2017","Pending Review",NA,"Pending Review",NA,"QUEENS","NEW","NEW",23.32383,0,15370,"Long Island City","NY",16409,5625,"20.60%",38.7624,"Astoria & Long Island City",51.10682,"Long Island City","NY",40.745341,-73.93907,"Long Island City",2016
"8",11101,"2006083-DCA","Active","OWM VERNON LLC","CORNER BISTRO","4718","VERNON BLVD","LONG ISLAND CITY","NY","Regular Unenclosed/Small Unenclosed",294,10,20,"41647754",40.74496808,-73.95352115,402,26,"http://www.cb2queens.org/","11127-2016-RSWC","Regular Unenclosed/Small Unenclosed",294,10,20,"Application Review Completed",2017-01-06,2018-09-15,NA,2016-08-25,"Ready For Review","8/25/2016","Approved","10/17/2016","Pending Review","8/29/2016","Recommend Approval","10/12/2016","Waived","10/14/2016",NA,NA,"Approved","1/6/2017","Approved","1/6/2017","Issued","1/6/2017","QUEENS","ACTIVE","ACTIVE",23.32383,0,15370,"Long Island City","NY",16409,5625,"20.60%",38.7624,"Astoria & Long Island City",51.10682,"Long Island City","NY",40.745341,-73.93907,"Long Island City",2016
"9",11101,"1157157-DCA","Active","UNO OF ASTORIA, INC.",NA,"3711","35TH AVE","LONG ISLAND CITY","NY","Unenclosed",320,8,22,"40850187",40.75591995,-73.92332021,401,26,"http://www.nyc.gov/html/qnscb1/html/home/home.shtml","5838-2016-RSWC","Unenclosed",320,8,22,"Application Review Completed",2016-04-01,2018-04-15,NA,2016-04-01,"Ready For Review","4/1/2016","Approved",NA,"Pending Review",NA,"Pending Review",NA,"Pending Review",NA,NA,NA,"Pending Review",NA,"Pending Review",NA,"Issued","4/1/2016","QUEENS","ACTIVE","ACTIVE",23.32383,0,15370,"Long Island City","NY",16409,5625,"20.60%",38.7624,"Astoria & Long Island City",51.10682,"Long Island City","NY",40.745341,-73.93907,"Long Island City",2016
"10",11101,NA,"Inactive","SAL & VIK CORP.","BELLA VIA RESTAURANT","4746","VERNON BLVD","LONG ISLAND CITY","NY","Unenclosed",NA,17,36,NA,40.74428197,-73.95370568,402,26,"http://www.cb2queens.org/","2248-2017-ASWC","Unenclosed",NA,17,36,"Pending Review",2017-02-27,NA,NA,2017-02-24,"Ready For Review","2/27/2017","Under Review","2/27/2017","Pending Review","2/27/2017","Pending Review","2/27/2017","Pending Review",NA,"SWC Public Hearing","4/19/2017","Pending Review",NA,"Pending Review",NA,"Pending Review",NA,"QUEENS","NEW","NEW",23.32383,0,15370,"Long Island City","NY",16409,5625,"20.60%",38.7624,"Astoria & Long Island City",51.10682,"Long Island City","NY",40.745341,-73.93907,"Long Island City",2017
