"","ZIP","PERCENTILE","SUPERZIP","RANK","CITY","STATE","ADULTPOP","HOUSEHOLDS","COLLEGE","INCOME","BOROUGH","NEIGHBORHOOD"
"1","10162",99.93327,1,22,"New York","NY",1415,480,"82.76%",202.505,"Manhattan","Upper East Side"
"2","10069",99.93251,1,23,"New York","NY",1376,422,"84.16%",200.01,"Manhattan","Upper West Side & West Side"
"3","10028",99.86842,1,38,"New York","NY",36366,9188,"77.74%",197.116,"Manhattan","Upper East Side"
"4","10022",99.83436,1,42,"New York","NY",26893,6274,"71.96%",203.584,"Manhattan","Murray Hill, Gramercy & Stuyvesant Town"
"5","10021",99.78984,1,46,"New York","NY",86540,20928,"75.28%",195.312,"Manhattan","Upper East Side"
"6","10280",99.63304,1,65,"New York","NY",5422,1613,"78.27%",179.075,"Manhattan","Battery Park City, Greenwich Village & Soho"
"7","10024",99.5659,1,77,"New York","NY",49837,12623,"73.93%",180.668,"Manhattan","Upper West Side & West Side"
"8","10004",99.43828,1,93,"New York","NY",1020,221,"75.98%",170.258,"Manhattan","Battery Park City, Greenwich Village & Soho"
"9","10007",99.38902,1,100,"New York","NY",2814,563,"56.89%",199.713,"Manhattan","Battery Park City, Greenwich Village & Soho"
"10","10005",99.36517,1,107,"New York","NY",703,119,"74.68%",167.23,"Manhattan","Battery Park City, Greenwich Village & Soho"
"11","10023",99.29218,1,120,"New York","NY",51494,11604,"73.32%",162.015,"Manhattan","Upper West Side & West Side"
"12","10017",99.12652,1,150,"New York","NY",14064,2742,"73.99%",152.385,"Manhattan","Murray Hill, Gramercy & Stuyvesant Town"
"13","10128",99.10585,1,152,"New York","NY",46757,12049,"73.83%",152.017,"Manhattan","Upper East Side"
"14","10014",99.0041,1,167,"New York","NY",28445,4763,"74.39%",145.505,"Manhattan","Battery Park City, Greenwich Village & Soho"
"15","10006",98.65981,1,228,"New York","NY",1174,230,"70.95%",138.78,"Manhattan","Battery Park City, Greenwich Village & Soho"
"16","10016",98.56199,1,243,"New York","NY",41544,7973,"68.79%",140.174,"Manhattan","Murray Hill, Gramercy & Stuyvesant Town"
"17","10010",98.17231,1,320,"New York","NY",21221,4819,"71.23%",126,"Manhattan","Murray Hill, Gramercy & Stuyvesant Town"
"18","10011",98.13351,1,326,"New York","NY",39951,6704,"68.57%",130.999,"Manhattan","Chelsea, Clinton & Midtown Business District"
"19","10003",97.68859,1,385,"New York","NY",40319,7504,"70.12%",121.43,"Manhattan","Chinatown & Lower East Side"
"20","10282",95.66295,1,691,"New York","NY",1039,317,"58.42%",116.652,"Manhattan","Battery Park City, Greenwich Village & Soho"
"21","11201",94.71729,0,831,"Brooklyn","NY",36260,9089,"57.51%",109.175,"Brooklyn","Brooklyn Heights & Fort Greene"
"22","10012",94.66093,0,840,"New York","NY",20476,4501,"64.63%",95.9752,"Manhattan","Battery Park City, Greenwich Village & Soho"
"23","10019",94.55955,0,854,"New York","NY",30339,5984,"61.50%",100.511,"Manhattan","Chelsea, Clinton & Midtown Business District"
"24","10471",91.39788,0,1303,"Bronx","NY",17090,5323,"49.33%",101.762,"Bronx","Riverdale, Fieldston & Kingsbridge"
"25","10025",91.02995,0,1363,"New York","NY",71769,19247,"58.40%",83.655,"Manhattan","Upper West Side & West Side"
"26","11215",89.72504,0,1553,"Brooklyn","NY",45146,13709,"53.00%",86.4336,"Brooklyn","Park Slope, Carroll Gardens & Red Hook"
"27","10165",89.09837,0,NA,"New York","NY",11,6,"100%",3.26769,"Manhattan","Murray Hill, Gramercy & Stuyvesant Town"
"28","10036",85.7291,0,2107,"New York","NY",15723,2480,"52.79%",72.6371,"Manhattan","Chelsea, Clinton & Midtown Business District"
"29","10044",83.96834,0,2369,"New York","NY",6640,1840,"45.90%",79.0744,"Manhattan","Upper East Side"
