"","Zip","avg_original_value","avg_revised_value","City","State"
"1","10001",5249378.1192053,6324626.03311258,"NEW YORK","NY"
"2","10002",12956807.5701754,12942196.6578947,"NEW YORK","NY"
"3","10003",8891266.54736842,8833474.00526316,"NEW YORK","NY"
"4","10004",11194696.8,11232013.16,"NEW YORK","NY"
"5","10005",1504243.52083333,1861949.47916667,"NEW YORK","NY"
"6","10006",2892357.51724138,2905861.03448276,"NEW YORK","NY"
"7","10007",1396999.77873918,1337433.26946848,"NEW YORK","NY"
"8","10009",535014.476190476,611341.952380952,"NEW YORK","NY"
"9","10010",2886821.88565022,2605452.32511211,"NEW YORK","NY"
"10","10011",1967438.37559809,1942439.12799043,"NEW YORK","NY"
"11","10012",3192248.64473684,2673330.71052632,"NEW YORK","NY"
"12","10013",827256.446728972,936976.768224299,"NEW YORK","NY"
"13","10014",3960324.5875,3877076.5,"NEW YORK","NY"
"14","10016",5542736.77583187,5562553.21978984,"NEW YORK","NY"
"15","10017",21857906.5272206,21988920.1489971,"NEW YORK","NY"
"16","10018",4101598.65517241,3680291.31034483,"NEW YORK","NY"
"17","10019",6259724.51474926,6160191.35250737,"NEW YORK","NY"
"18","10020",12911662.8333333,9257929.5,"NEW YORK","NY"
"19","10021",2408121.30093458,2252027.18878505,"NEW YORK","NY"
"20","10021",2408121.30093458,2252027.18878505,"BRONX",""
"21","10022",4560138.54030875,4625793.71698113,"NEW YORK","NY"
"22","10023",7350268.03784861,7198592.4063745,"NEW YORK","NY"
"23","10024",1065896.51534733,1050963.13893376,"NEW YORK","NY"
"24","10025",1397365.13920455,1385843.86079545,"NEW YORK","NY"
"25","10026",1213552.25,1335015.39285714,"NEW YORK","NY"
"26","10027",9473828.78461538,9487741.15384615,"NEW YORK","NY"
"27","10028",2340162.69824561,2381690.43859649,"NEW YORK","NY"
"28","10029",814263.256,1023545.152,"NEW YORK","NY"
"29","10030",3763928.2,3772500,"NEW YORK","NY"
"30","10031",991605,1160815,"NEW YORK","NY"
"31","10032",2752000,2954000,"NEW YORK","NY"
"32","10033",495265.363636364,368664.272727273,"NEW YORK","NY"
"33","10034",3836890.94444444,3836890.94444444,"NEW YORK","NY"
"34","10035",624008.176470588,674822.352941177,"NEW YORK","NY"
"35","10036",3060359.85053381,3491431.80071174,"NEW YORK","NY"
"36","10037",1072250,1072250,"NEW YORK","NY"
"37","10038",3028762.44871795,2958219.38461538,"NEW YORK","NY"
"38","10039",2062266.66666667,2222042.06666667,"NEW YORK","NY"
"39","10040",1382332.54545455,1382332.54545455,"NEW YORK","NY"
"40","10041",116250,116250,"NEW YORK","NY"
"41","10044",9960552,9960552,"NEW YORK","NY"
"42","10065",6223231.72627737,6283203.91970803,"NEW YORK","NY"
"43","10068",158599,158599,"NEW YORK","NY"
"44","10069",435880.909090909,435880.454545455,"NEW YORK","NY"
"45","10075",1131302.70654628,1166104.72460497,"NEW YORK","NY"
"46","10101",216614,216614,"NEW YORK","NY"
"47","10103",2284233.8,2293183.2,"NEW YORK","NY"
"48","10106",3000651.85714286,1925535.28571429,"NEW YORK","NY"
"49","10107",188602.96969697,226389.545454545,"NEW YORK","NY"
"50","10108",364022,364022,"NEW YORK","NY"
"51","10111",1810842.83333333,655519,"NEW YORK","NY"
"52","10112",344939,344939,"NEW YORK","NY"
"53","10113",4301000,4301000,"NEW YORK","NY"
"54","10116",5344000,5344000,"NEW YORK","NY"
"55","10118",654896.636363636,654896.636363636,"NEW YORK","NY"
"56","10119",1671806.25,1997889,"NEW YORK","NY"
"57","10120",157806000,157806000,"NEW YORK","NY"
"58","10123",12138373.5,12138373.5,"NEW YORK","NY"
"59","10128",1900246.0462963,1875286.80246914,"NEW YORK","NY"
"60","10150",278970.333333333,278970.333333333,"NEW YORK","NY"
"61","10151",31991614,31991614,"NEW YORK","NY"
"62","10152",2433252.66666667,2256919.33333333,"NEW YORK","NY"
"63","10154",33365000,29635597,"NEW YORK","NY"
"64","10155",3199068,3199068,"NEW YORK","NY"
"65","10156",11981000,13492000,"NEW YORK","NY"
"66","10159",371671,371671,"NEW YORK","NY"
"67","10162",252350,252350,"NEW YORK","NY"
"68","10163",1348419,1035419,"NEW YORK","NY"
"69","10165",10809980.5,11306188.5,"NEW YORK","NY"
"70","10168",7607772.72727273,6461409.09090909,"NEW YORK","NY"
"71","10169",586639.5,586639.5,"NEW YORK","NY"
"72","10170",9209199.75,6252824.75,"NEW YORK","NY"
"73","10171",564025,591110,"NEW YORK","NY"
"74","10172",347751.583333333,357685.083333333,"NEW YORK","NY"
"75","10174",486992.2,489828.6,"NEW YORK","NY"
"76","10175",313346.666666667,313346.666666667,"NEW YORK","NY"
"77","10178",242511,242511,"NEW YORK","NY"
"78","10271",908000,908000,"NEW YORK","NY"
"79","10274",460268,460268,"NEW YORK","NY"
"80","10279",490735,490735,"NEW YORK","NY"
"81","10280",302205.350806452,301951.383064516,"NEW YORK","NY"
"82","10281",90157000,58875333.3333333,"NEW YORK","NY"
"83","10282",385462.2,413713.5,"NEW YORK","NY"
"84","10301",1281768.475,1256772.5875,"STATEN ISLAND","NY"
"85","10302",397677.054054054,397001.378378378,"STATEN ISLAND","NY"
"86","10303",321945.303030303,290146.818181818,"STATEN ISLAND","NY"
"87","10304",709476.453488372,682013,"STATEN ISLAND","NY"
"88","10305",511498.2265625,487739,"STATEN ISLAND","NY"
"89","10306",458357.311004785,437964.358851675,"STATEN ISLAND","NY"
"90","10307",750750.41509434,516985.320754717,"STATEN ISLAND","NY"
"91","10308",443860.937007874,391913.275590551,"STATEN ISLAND","NY"
"92","10309",766209.32,843974.462857143,"STATEN ISLAND","NY"
"93","10310",468404.695652174,459426.434782609,"STATEN ISLAND","NY"
"94","10312",495042.023622047,477280.362204724,"STATEN ISLAND","NY"
"95","10312",495042.023622047,477280.362204724,"NEW YORK","NY"
"96","10314",528680.789340102,517134.444162437,"STATEN ISLAND","NY"
"97","10451",4154400,4147733.33333333,"BRONX","NY"
"98","10452",1160333.33333333,1273833.33333333,"BRONX","NY"
"99","10453",268500,268500,"BRONX","NY"
"100","10454",1574586,1555014.57142857,"BRONX","NY"
"101","10455",622705.882352941,601235.294117647,"BRONX","NY"
"102","10456",2748132.26666667,2877920.53333333,"BRONX","NY"
"103","10457",1962705.35714286,1846355.71428571,"BRONX","NY"
"104","10458",2013327.79166667,1985661.125,"BRONX","NY"
"105","10459",583576.2,583222.866666667,"BRONX","NY"
"106","10460",987238.095238095,1200550.0952381,"BRONX","NY"
"107","10461",971609.375,964906.25,"BRONX","NY"
"108","10462",2107476.26153846,2100655.16923077,"BRONX","NY"
"109","10463",4854877.54347826,4837216.2173913,"BRONX","NY"
"110","10464",465642.764705882,469348.647058824,"BRONX","NY"
"111","10465",5566502.09701493,5562651.35074627,"BRONX","NY"
"112","10465",5566502.09701493,5562651.35074627,"NEW YORK","NY"
"113","10466",899036.604166667,891270.645833333,"BRONX","NY"
"114","10467",4798956.18181818,4798956.18181818,"BRONX","NY"
"115","10468",1173111.11111111,1157833.33333333,"BRONX","NY"
"116","10469",1899477.6119403,1899805.97014925,"BRONX","NY"
"117","10470",830727.272727273,830727.272727273,"BRONX","NY"
"118","10471",4211846.69230769,4172923.61538462,"BRONX","NY"
"119","10472",507875,508250,"BRONX","NY"
"120","10473",380023.315789474,419181.210526316,"BRONX","NY"
"121","10474",661000,661000,"BRONX","NY"
"122","10475",506000,506000.2,"BRONX","NY"
"123","10510",352902,352902,"NEW YORK","NY"
"124","11021",3745000,3745000,"NEW YORK","NY"
"125","11201",3145140.66141732,3138665.11417323,"BROOKLYN","NY"
"126","11201",3145140.66141732,3138665.11417323,"NEW YORK","NY"
"127","11202",1576500,1576500,"BROOKLYN","NY"
"128","11203",1981111.74666667,1967245.21333333,"BROOKLYN","NY"
"129","11204",1656290.25517241,1652760.47586207,"BROOKLYN","NY"
"130","11205",536590.761904762,564966.402116402,"BROOKLYN","NY"
"131","11206",829992.111111111,873638.291666667,"BROOKLYN","NY"
"132","11207",384421.278688525,891538.62295082,"BROOKLYN","NY"
"133","11208",464582.166666667,450548.833333333,"BROOKLYN","NY"
"134","11209",2481487.8516129,2487340.88387097,"BROOKLYN","NY"
"135","11210",2610139.59036145,2643344.40963855,"BROOKLYN","NY"
"136","11211",473001.43003413,523636.194539249,"BROOKLYN","NY"
"137","11212",390176.470588235,372867.176470588,"BROOKLYN","NY"
"138","11213",1036029.28947368,1030603.5,"BROOKLYN","NY"
"139","11214",1211459.85306122,1331720.0244898,"BROOKLYN","NY"
"140","11215",2492898.86602871,2601040.54545455,"BROOKLYN","NY"
"141","11215",2492898.86602871,2601040.54545455,"NEW YORK","NY"
"142","11216",523943.784313725,442655.5,"BROOKLYN","NY"
"143","11217",1715047.2601626,2023553.86178862,"BROOKLYN","NY"
"144","11218",1704072.63809524,1700736.18095238,"BROOKLYN","NY"
"145","11219",1174208.2705314,1183235.48309179,"BROOKLYN","NY"
"146","11220",998633.094936709,978021.683544304,"BROOKLYN","NY"
"147","11221",365212.716216216,479070.662162162,"BROOKLYN","NY"
"148","11222",1636156.1,1519343.26666667,"BROOKLYN","NY"
"149","11223",1380274.35652174,1330442.96521739,"BROOKLYN","NY"
"150","11224",6010883.41346154,6091962.98076923,"BROOKLYN","NY"
"151","11225",1207421.42857143,1273227.38095238,"BROOKLYN","NY"
"152","11226",2165939.75409836,2161087.29508197,"BROOKLYN","NY"
"153","11228",1118309.63106796,1082974.69902913,"BROOKLYN","NY"
"154","11229",1238355.40234375,1263689.65625,"BROOKLYN","NY"
"155","11230",1179143.96923077,1199058.38461538,"BROOKLYN","NY"
"156","11231",811061.033519553,857792.340782123,"BROOKLYN","NY"
"157","11232",761453.879518072,920190.530120482,"BROOKLYN","NY"
"158","11233",648031.533333333,702653.088888889,"BROOKLYN","NY"
"159","11234",1470082.50917431,1462690.2293578,"BROOKLYN","NY"
"160","11235",871192.846481876,871251.304904051,"BROOKLYN","NY"
"161","11236",909453.5,926971.639534884,"BROOKLYN","NY"
"162","11237",830754.25,839554.25,"BROOKLYN","NY"
"163","11238",988012.493273543,1081370.86098655,"BROOKLYN","NY"
"164","11239",1768000,1768000,"BROOKLYN","NY"
"165","11241",3166666.66666667,3166666.66666667,"BROOKLYN","NY"
"166","11242",6578785.71428571,6578785.71428571,"BROOKLYN","NY"
"167","11243",651892.75,638142.75,"BROOKLYN","NY"
"168","11249",229602.602631579,345860.128947368,"BROOKLYN","NY"
"169","11249",229602.602631579,345860.128947368,"NEW YORK","NY"
"170","11357",356091,356091,"NEW YORK","NY"
"171","11414",66500,86000,"BROOKLYN","NY"
"172","11427",4751142.85714286,4754035.71428571,"QUEENS VILLAGE","NY"
"173","11428",996621.326923077,1030717.63461538,"QUEENS VILLAGE","NY"
"174","11429",429555.555555556,432736.111111111,"QUEENS VILLAGE","NY"
"175","11432",2974000,2974000,"NEW YORK","NY"
"176","11434",4764000,4764000,"NEW YORK","NY"
"177","83025",80751,96962,"NEW YORK","NY"
