"zipcode" "percentile" "superzip" "rank" "city" "state" "adultpop" "households" "college" "income."
"38157" 99.99999 1 NA "Memphis" "TN" 17 5 "100%" 261.521
"60043" 99.99955 1 1 "Kenilworth" "IL" 1581 732 "88.87%" 261.521
"19732" 99.99911 1 NA "Rockland" "DE" 46 19 "84.78%" 261.521
"77010" 99.99908 1 NA "Houston" "TX" 53 19 "83.02%" 261.521
"10597" 99.99901 1 NA "Waccabuc" "NY" 215 83 "80.93%" 261.521
"60022" 99.99741 1 2 "Glencoe" "IL" 5578 2492 "80.67%" 261.521
"7078" 99.99359 1 3 "Short Hills" "NJ" 8347 3692 "79.23%" 261.521
"19736" 99.99129 1 NA "Yorklyn" "DE" 40 22 "77.50%" 261.521
"94027" 99.98998 1 4 "Atherton" "CA" 4756 1859 "75.63%" 261.521
"10514" 99.98656 1 5 "Chappaqua" "NY" 7648 3408 "79.42%" 247.881
"46290" 99.98444 1 NA "Indianapolis" "IN" 147 60 "70.75%" 261.521
"33109" 99.98431 1 NA "Miami Beach" "FL" 308 118 "68.18%" 261.521
"10503" 99.98418 1 NA "Ardsley on Hudson" "NY" 108 40 "96.30%" 212.48
"19035" 99.98334 1 6 "Gladwyne" "PA" 2962 1057 "66.98%" 261.521
"94028" 99.98116 1 7 "Portola Valley" "CA" 4966 1918 "80.59%" 237.116
"92067" 99.97844 1 8 "Rancho Santa Fe" "CA" 4972 2103 "64.70%" 261.521
"13475" 99.97707 1 NA "Van Hornesville" "NY" 5 2 "100%" 199.197
"33945" 99.97706 1 NA "Pineland" "FL" 69 24 "63.77%" 261.521
"2493" 99.97501 1 9 "Weston" "MA" 7373 3035 "75.10%" 236.729
"10577" 99.97255 1 10 "Purchase" "NY" 1573 663 "69.68%" 244.546
"30327" 99.96794 1 11 "Atlanta" "GA" 15235 5781 "78.19%" 228.773
"19085" 99.9627 1 12 "Villanova" "PA" 3841 1606 "76.72%" 228.19
"2108" 99.96086 1 13 "Boston" "MA" 2874 592 "72.51%" 229.928
"7021" 99.95969 1 14 "Essex Fells" "NJ" 1427 603 "72.53%" 229.874
"11568" 99.95869 1 15 "Old Westbury" "NY" 2171 869 "64.90%" 240.988
"6840" 99.95459 1 16 "New Canaan" "CT" 12802 5234 "71.53%" 228.938
"10518" 99.95078 1 17 "Cross River" "NY" 1066 486 "71.76%" 226.69
"90402" 99.94816 1 18 "Santa Monica" "CA" 8523 2984 "70.47%" 227.761
"6820" 99.94232 1 19 "Darien" "CT" 12665 5409 "70.45%" 227.23
"33921" 99.93846 1 20 "Boca Grande" "FL" 1432 605 "68.65%" 227.921
"98243" 99.93803 1 NA "Deer Harbor" "WA" 116 45 "57.76%" 246.303
"90077" 99.93584 1 21 "Los Angeles" "CA" 7904 2910 "70.81%" 223.275
"10162" 99.93327 1 22 "New York" "NY" 1415 480 "82.76%" 202.505
"10069" 99.93251 1 23 "New York" "NY" 1376 422 "84.16%" 200.01
"60093" 99.92861 1 24 "Winnetka" "IL" 12842 5488 "75.89%" 212.624
"2468" 99.92398 1 25 "Waban" "MA" 3980 1677 "81.46%" 201.924
"60045" 99.91901 1 26 "Lake Forest" "IL" 14150 5921 "72.71%" 216.46
"10576" 99.91423 1 27 "Pound Ridge" "NY" 3257 1380 "70.46%" 219.901
"6883" 99.91158 1 28 "Weston" "CT" 6403 2836 "74.45%" 211.87
"94022" 99.90607 1 29 "Los Altos" "CA" 13683 5376 "73.66%" 213.16
"2030" 99.90133 1 30 "Dover" "MA" 3586 1571 "77.80%" 205.512
"10506" 99.89934 1 31 "Bedford" "NY" 3659 1579 "70.32%" 217.894
"60029" 99.89828 1 NA "Golf" "IL" 234 100 "84.62%" 193.093
"95618" 99.89806 1 32 "Davis" "CA" 512 207 "71.68%" 212.473
"22066" 99.89487 1 33 "Great Falls" "VA" 11141 4969 "73.95%" 208.264
"78730" 99.89091 1 34 "Austin" "TX" 3322 1384 "71.22%" 211.793
"90272" 99.88544 1 35 "Pacific Palisades" "CA" 16633 6453 "70.27%" 211.63
"7931" 99.88034 1 36 "Far Hills" "NJ" 1865 773 "65.79%" 218.83
"7046" 99.87912 1 37 "Mountain Lakes" "NJ" 2624 1214 "76.11%" 200.359
"10028" 99.86842 1 38 "New York" "NY" 36366 9188 "77.74%" 197.116
"1741" 99.85757 1 39 "Carlisle" "MA" 3146 1406 "83.41%" 186.136
"6897" 99.85355 1 40 "Wilton" "CT" 11515 4858 "70.73%" 207.143
"77005" 99.84606 1 41 "Houston" "TX" 15746 5882 "77.12%" 195.44
"10022" 99.83436 1 42 "New York" "NY" 26893 6274 "71.96%" 203.584
"75225" 99.82313 1 43 "Dallas" "TX" 14008 5478 "74.98%" 197.788
"92657" 99.81815 1 44 "Newport Coast" "CA" 4152 1547 "74.06%" 198.974
"28207" 99.81531 1 45 "Charlotte" "NC" 6204 2047 "73.29%" 199.093
"10021" 99.78984 1 46 "New York" "NY" 86540 20928 "75.28%" 195.312
"94301" 99.76263 1 47 "Palo Alto" "CA" 12646 3721 "76.50%" 192.711
"10510" 99.75737 1 48 "Briarcliff Manor" "NY" 6431 2629 "70.75%" 202.162
"20816" 99.75265 1 49 "Bethesda" "MD" 10854 4319 "79.94%" 186.149
"20854" 99.74097 1 50 "Potomac" "MD" 31674 13537 "76.27%" 192.36
"10538" 99.7291 1 51 "Larchmont" "NY" 11598 4708 "70.98%" 200.625
"63124" 99.72389 1 52 "Saint Louis" "MO" 7345 2789 "65.57%" 209.314
"75205" 99.71784 1 53 "Dallas" "TX" 14723 4968 "73.01%" 196.427
"98039" 99.7132 1 54 "Medina" "WA" 2129 901 "72.99%" 196.359
"10583" 99.70547 1 55 "Scarsdale" "NY" 26102 10873 "70.37%" 200.234
"6853" 99.69759 1 56 "Norwalk" "CT" 2599 980 "68.91%" 201.578
"6880" 99.69196 1 57 "Westport" "CT" 17889 7182 "69.49%" 200.234
"7970" 99.687 1 NA "Mount Freedom" "NJ" 189 86 "71.43%" 196.1
"95070" 99.68106 1 58 "Saratoga" "CA" 21476 8815 "67.86%" 201.298
"2481" 99.67262 1 59 "Wellesley Hills" "MA" 9273 3866 "79.52%" 180.293
"20812" 99.67003 1 NA "Glen Echo" "MD" 162 62 "84.57%" 171.54
"20818" 99.66962 1 60 "Cabin John" "MD" 1325 530 "77.21%" 183.237
"95030" 99.66657 1 61 "Los Gatos" "CA" 9795 3460 "67.34%" 199.619
"22101" 99.65833 1 62 "McLean" "VA" 20232 8190 "75.64%" 185.026
"94024" 99.64854 1 63 "Los Altos" "CA" 15378 6376 "72.13%" 190.695
"20007" 99.63944 1 64 "Washington" "DC" 17804 4295 "83.07%" 171.503
"19710" 99.63454 1 NA "Montchanin" "DE" 26 8 "30.77%" 261.521
"10280" 99.63304 1 65 "New York" "NY" 5422 1613 "78.27%" 179.075
"11576" 99.62926 1 66 "Roslyn" "NY" 8374 3533 "67.16%" 196.487
"20016" 99.62091 1 67 "Washington" "DC" 22077 6355 "78.67%" 174.984
"7043" 99.61266 1 68 "Montclair" "NJ" 7984 3233 "73.57%" 183.55
"20815" 99.60468 1 69 "Chevy Chase" "MD" 21067 7353 "78.72%" 174.313
"6870" 99.59756 1 70 "Old Greenwich" "CT" 4833 2019 "72.05%" 185.532
"2199" 99.59599 1 71 "Boston" "MA" 909 184 "76.68%" 176.609
"44040" 99.59519 1 72 "Gates Mills" "OH" 2055 872 "63.94%" 198.47
"8550" 99.59162 1 73 "Princeton Junction" "NJ" 10947 4896 "73.65%" 181.681
"1773" 99.5876 1 74 "Lincoln" "MA" 3659 1489 "76.93%" 175.963
"94507" 99.58385 1 75 "Alamo" "CA" 10035 4350 "63.57%" 198.946
"1770" 99.58034 1 76 "Sherborn" "MA" 2728 1233 "75.62%" 178.109
"10024" 99.5659 1 77 "New York" "NY" 49837 12623 "73.93%" 180.668
"22124" 99.54959 1 78 "Oakton" "VA" 9621 3951 "72.81%" 182.089
"94920" 99.54424 1 79 "Belvedere Tiburon" "CA" 9915 3669 "69.66%" 187.385
"60614" 99.52798 1 80 "Chicago" "IL" 49266 10767 "78.40%" 172.21
"94506" 99.51097 1 81 "Danville" "CA" 12731 5664 "65.07%" 195.05
"8558" 99.50655 1 82 "Skillman" "NJ" 3355 1443 "69.96%" 186.509
"7423" 99.50485 1 83 "Ho Ho Kus" "NJ" 2776 1192 "68.34%" 189.063
"10804" 99.50142 1 84 "New Rochelle" "NY" 9745 4033 "70.02%" 186.023
"20817" 99.49184 1 85 "Bethesda" "MD" 25142 10177 "77.43%" 172.426
"94563" 99.48149 1 86 "Orinda" "CA" 12604 5358 "74.54%" 175.343
"11030" 99.47478 1 87 "Manhasset" "NY" 11864 4789 "63.16%" 194.531
"20008" 99.46548 1 88 "Washington" "DC" 21998 4687 "81.58%" 162.324
"60601" 99.4581 1 89 "Chicago" "IL" 4918 1318 "71.31%" 179.872
"94123" 99.45113 1 90 "San Francisco" "CA" 20475 4020 "74.45%" 174.218
"22039" 99.44225 1 91 "Fairfax Station" "VA" 11824 5395 "68.79%" 183.598
"10546" 99.43877 1 92 "Millwood" "NY" 825 349 "70.91%" 179.044
"10004" 99.43828 1 93 "New York" "NY" 1020 221 "75.98%" 170.258
"90049" 99.43073 1 94 "Los Angeles" "CA" 26487 7837 "70.03%" 180.376
"7945" 99.42176 1 95 "Mendham" "NJ" 6166 2565 "67.56%" 184.525
"85253" 99.41657 1 96 "Paradise Valley" "AZ" 12735 5188 "64.68%" 189.459
"28378" 99.41306 1 NA "Rex" "NC" 27 16 "22.22%" 261.521
"90210" 99.40857 1 97 "Beverly Hills" "CA" 16357 5773 "55.46%" 203.444
"22182" 99.3998 1 98 "Vienna" "VA" 15588 6486 "72.90%" 173.294
"63005" 99.39265 1 99 "Chesterfield" "MO" 10435 4721 "66.51%" 183.43
"10007" 99.38902 1 100 "New York" "NY" 2814 563 "56.89%" 199.713
"27706" 99.38821 1 NA "Durham" "NC" 97 42 "65.98%" 184.052
"10504" 99.38691 1 101 "Armonk" "NY" 4651 2029 "60.65%" 193.171
"20015" 99.38238 1 102 "Washington" "DC" 11879 3530 "68.41%" 179.754
"60523" 99.37699 1 103 "Oak Brook" "IL" 7761 2741 "54.59%" 202.606
"77046" 99.37475 1 NA "Houston" "TX" 423 121 "74.23%" 168.754
"6878" 99.37325 1 104 "Riverside" "CT" 5044 2087 "65.07%" 184.175
"94708" 99.36956 1 105 "Berkeley" "CA" 8386 2910 "81.58%" 155.689
"66221" 99.36631 1 106 "Overland Park" "KS" 3446 1678 "72.66%" 171.024
"10005" 99.36517 1 107 "New York" "NY" 703 119 "74.68%" 167.23
"78746" 99.36043 1 108 "Austin" "TX" 16567 6922 "75.54%" 165.729
"10580" 99.35277 1 109 "Rye" "NY" 11312 4488 "68.06%" 178.203
"1776" 99.3467 1 110 "Sudbury" "MA" 10824 4836 "71.89%" 170.509
"48302" 99.34042 1 111 "Bloomfield Hills" "MI" 12025 4926 "65.59%" 180.694
"30305" 99.33241 1 112 "Atlanta" "GA" 17148 4424 "69.33%" 173.977
"2482" 99.3258 1 113 "Wellesley" "MA" 6955 2688 "71.04%" 170.966
"11724" 99.32334 1 114 "Cold Spring Harbor" "NY" 1994 859 "66.15%" 179.003
"77094" 99.32156 1 115 "Houston" "TX" 4507 2179 "73.97%" 164.437
"7842" 99.32031 1 NA "Hibernia" "NJ" 47 24 "68.09%" 174.378
"94707" 99.31781 1 116 "Berkeley" "CA" 9059 3332 "79.98%" 153.797
"2110" 99.31499 1 117 "Boston" "MA" 1246 309 "76.73%" 159.159
"20896" 99.31451 1 NA "Garrett Park" "MD" 429 178 "77.62%" 156.026
"19009" 99.3144 1 NA "Bryn Athyn" "PA" 51 20 "82.35%" 147.1
"91108" 99.31192 1 118 "San Marino" "CA" 8927 3789 "70.25%" 167.795
"19807" 99.30789 1 119 "Wilmington" "DE" 5755 2164 "65.40%" 176.085
"10023" 99.29218 1 120 "New York" "NY" 51494 11604 "73.32%" 162.015
"20036" 99.27712 1 121 "Washington" "DC" 3352 374 "83.74%" 143.824
"1451" 99.2753 1 122 "Harvard" "MA" 3313 1457 "75.85%" 157
"7920" 99.26969 1 123 "Basking Ridge" "NJ" 17129 6477 "66.86%" 172.103
"60611" 99.25861 1 124 "Chicago" "IL" 23272 5584 "73.46%" 160.488
"2459" 99.24898 1 125 "Newton Center" "MA" 11790 4518 "73.54%" 160.14
"19066" 99.24465 1 126 "Merion Station" "PA" 3951 1526 "76.69%" 154.315
"60091" 99.2386 1 127 "Wilmette" "IL" 18124 7640 "72.89%" 160.565
"66211" 99.23294 1 128 "Leawood" "KS" 2465 971 "66.65%" 170.917
"48301" 99.22941 1 129 "Bloomfield Hills" "MI" 10413 4460 "68.29%" 167.731
"77024" 99.22011 1 130 "Houston" "TX" 23477 9133 "68.02%" 167.686
"60606" 99.21332 1 131 "Chicago" "IL" 1273 350 "80.60%" 145.943
"63131" 99.20985 1 132 "Saint Louis" "MO" 11381 4971 "67.85%" 167.516
"90274" 99.20181 1 133 "Palos Verdes Peninsula" "CA" 17933 7617 "66.21%" 170.297
"19041" 99.19572 1 134 "Haverford" "PA" 4241 1422 "73.17%" 158.279
"6903" 99.1918 1 135 "Stamford" "CT" 10066 4222 "68.32%" 166.371
"19421" 99.18901 1 NA "Birchrunville" "PA" 62 33 "75.81%" 153.435
"6831" 99.18604 1 136 "Greenwich" "CT" 10758 4109 "56.83%" 185.262
"22181" 99.18039 1 137 "Vienna" "VA" 9842 4085 "68.49%" 165.135
"35223" 99.17561 1 138 "Birmingham" "AL" 7558 3249 "74.48%" 154.656
"6490" 99.17271 1 139 "Southport" "CT" 3002 1164 "61.73%" 176.556
"94705" 99.16934 1 140 "Berkeley" "CA" 9252 2626 "76.35%" 151.199
"11797" 99.16505 1 141 "Woodbury" "NY" 6411 2317 "58.01%" 182.543
