"","ZIP","LICENSE_NBR","LIC_STATUS","BUSINESS_NAME","BUSINESS_NAME2","BUILDING","STREET","CITY","STATE","SWC_TYPE","SWC_SQ_FT","SWC_TABLES","SWC_CHAIRS","DOHMH","LATITUDE","LONGITUDE","COMMUNITY_DISTRICT","CITY_COUNCIL_DISTRICT","CD_URL","APP_ID","APP_SWC_TYPE","APP_SQ_FT","APP_TABLES","APP_CHAIRS","APP_STATUS","APP_STATUS_DATE","EXPIRATION_DATE","APP_TOO_DATE","SUBMIT_DATE","INTAKE","INTAKE_DD","DPQA","SEND_PACKAGE_DD","CP","CP_DD","CB","CB_DD","HEARING","HEARING_DD","HEARING_PUBLIC","HEARING_PUBLIC_DD","CC","CC_DD","MOO","MOO_DD","ISSUANCE","ISSUANCE_DD","BOROUGH","STATUS_CLASSIFICATION","STATUS_CLASSIFICATION2","percentile","superzip","rank","city.x","state.x","adultpop","households","college","income.","area","avg","city.y","state.y","latitude","longitude","nbh","SUBMIT_YEAR"
"1",11201,"1390391-DCA","Active","HERSHA HOSPITALITY MANAGEMENT L.P.","NU HOTEL","85","SMITH ST","BROOKLYN","NY","Unenclosed",416,25,52,"41450097",40.68879717,-73.98883269,302,33,"http://www.nyc.gov/html/bkncb2/html/home/home.shtml","16526-2015-RSWC","Unenclosed",416,25,52,"Application Review Completed",2015-08-20,2017-04-15,NA,2015-04-16,"Ready For Review","4/16/2015","Approved","6/9/2015",NA,NA,"Review Period Expired","6/5/2015","Waived","6/5/2015",NA,NA,"Approved","7/24/2015","Approved","7/24/2015","Issued","8/12/2015","BROOKLYN","ACTIVE","ACTIVE",94.71729,0,831,"Brooklyn","NY",36260,9089,"57.51%",109.175,"Brooklyn Heights & Fort Greene",71.7936,"Brooklyn","NY",40.695286,-73.98907,"Brooklyn Heights & Fort Greene",2015
"2",11201,"1458968-DCA","Active","SYMBIONTS LIVING LLC","BAREBURGER","145","COURT ST","BROOKLYN","NY","Unenclosed",292,10,24,"41718673",40.68920643,-73.99241325,302,33,"http://www.nyc.gov/html/bkncb2/html/home/home.shtml","33402-2015-RSWC","Unenclosed",292,10,24,"Application Review Completed",2016-08-10,2017-12-15,"7/31/2016",2015-12-16,"Ready For Review","12/16/2015","Approved","2/8/2016","Pending Review","12/16/2015","Review Period Expired","2/5/2016","Waived","2/8/2016",NA,NA,"Approved","4/7/2016","Approved","4/7/2016","Issued","8/10/2016","BROOKLYN","ACTIVE","ACTIVE",94.71729,0,831,"Brooklyn","NY",36260,9089,"57.51%",109.175,"Brooklyn Heights & Fort Greene",71.7936,"Brooklyn","NY",40.695286,-73.98907,"Brooklyn Heights & Fort Greene",2015
"3",11201,"2036874-DCA","Active","BROOKLYN THIN CRUST INC","BRADO","155","ATLANTIC AVE","BROOKLYN","NY","Unenclosed",153,8,18,"50037525",40.69065306,-73.99496249,302,33,"http://www.nyc.gov/html/bkncb2/html/home/home.shtml","1358-2016-ASWC","Unenclosed",153,8,18,"Application Review Completed",2016-06-03,2018-12-15,NA,2016-02-09,"Ready For Review","2/9/2016","Approved","5/3/2016","Pending Review","2/9/2016","Review Period Expired","3/31/2016","Recommendation On Hold","4/11/2016","SWC Public Hearing","3/30/2016","Approved","6/3/2016","Approved","6/3/2016","Issued","6/3/2016","BROOKLYN","ACTIVE","ACTIVE",94.71729,0,831,"Brooklyn","NY",36260,9089,"57.51%",109.175,"Brooklyn Heights & Fort Greene",71.7936,"Brooklyn","NY",40.695286,-73.98907,"Brooklyn Heights & Fort Greene",2016
"4",11201,"2010338-DCA","Active","A & B FULTON CORP.",NA,"7","OLD FULTON ST","BROOKLYN","NY","Unenclosed",157,9,18,"41454767",40.70298526,-73.9939445,302,33,"http://www.nyc.gov/html/bkncb2/html/home/home.shtml","883-2017-RSWC","Unenclosed",157,9,18,"Pending Review",2017-01-13,2017-04-13,"4/13/2017",2017-01-06,"Ready For Review","1/11/2017","Issued Temp Op Letter","1/11/2017","Pending Review","1/11/2017","Review Period Expired","3/3/2017","Waived","3/6/2017",NA,NA,"Pending Review","3/6/2017","Pending Review",NA,"Pending Review",NA,"BROOKLYN","RENEWAL","ACTIVE",94.71729,0,831,"Brooklyn","NY",36260,9089,"57.51%",109.175,"Brooklyn Heights & Fort Greene",71.7936,"Brooklyn","NY",40.695286,-73.98907,"Brooklyn Heights & Fort Greene",2017
"5",11201,"1317766-DCA","Active","BROOKLYN HEIGHTS WINE BAR LLC",NA,"50","HENRY ST","BROOKLYN","NY","Unenclosed",138,6,12,"41388348",40.69953498,-73.9921416,302,33,"http://www.nyc.gov/html/bkncb2/html/home/home.shtml","25909-2015-RSWC","Unenclosed",138,6,12,"Application Review Completed",2015-12-04,2017-09-15,NA,2015-09-02,"Ready For Review","9/2/2015","Approved","10/26/2015","Pending Review","9/2/2015","Review Period Expired","10/23/2015","Waived","10/23/2015",NA,NA,"Approved","12/4/2015","Approved","12/4/2015","Issued","12/4/2015","BROOKLYN","ACTIVE","ACTIVE",94.71729,0,831,"Brooklyn","NY",36260,9089,"57.51%",109.175,"Brooklyn Heights & Fort Greene",71.7936,"Brooklyn","NY",40.695286,-73.98907,"Brooklyn Heights & Fort Greene",2015
"6",11201,"1473612-DCA","Active","SOCIALE, LLC","SOCIALE","72","HENRY ST","BROOKLYN","NY","Unenclosed",212,10,20,"50000422",40.69871157,-73.99253839,302,33,"http://www.nyc.gov/html/bkncb2/html/home/home.shtml","27441-2015-RSWC","Unenclosed",212,10,20,"Application Review Completed",2016-01-20,2017-12-15,"3/15/2016",2015-10-22,"Ready For Review","10/22/2015","Approved","12/17/2015","Pending Review","10/22/2015","Review Period Expired","12/12/2015","Waived","12/14/2015",NA,NA,"Approved","1/20/2016","Approved","1/20/2016","Issued","1/20/2016","BROOKLYN","ACTIVE","ACTIVE",94.71729,0,831,"Brooklyn","NY",36260,9089,"57.51%",109.175,"Brooklyn Heights & Fort Greene",71.7936,"Brooklyn","NY",40.695286,-73.98907,"Brooklyn Heights & Fort Greene",2015
"7",11201,"0623018-DCA","Active","P.J. COFFEE SHOP INC.","CLARKS RESTAURANT","80","CLARK ST","BROOKLYN","NY","Enclosed",479,18,40,"40381551",40.69736668,-73.99332111,302,33,"http://www.nyc.gov/html/bkncb2/html/home/home.shtml","8493-2016-RSWC","Enclosed",479,18,40,"Application Review Completed",2016-05-23,2018-05-15,NA,2016-05-23,"Ready For Review","5/23/2016","Approved",NA,"Proceed","5/23/2016","Recommend Approval","5/23/2016","Waived","5/23/2016",NA,NA,"Approved","5/23/2016","Approved","5/23/2016","Issued","5/23/2016","BROOKLYN","ACTIVE","ACTIVE",94.71729,0,831,"Brooklyn","NY",36260,9089,"57.51%",109.175,"Brooklyn Heights & Fort Greene",71.7936,"Brooklyn","NY",40.695286,-73.98907,"Brooklyn Heights & Fort Greene",2016
"8",11201,"2023398-DCA","Active","COBBLESTONE RESTAURANT GROUP, LLC","ATRIUM DUMBO","15","MAIN ST","BROOKLYN","NY","Unenclosed",205,10,20,"50001397",40.70380846,-73.99065154,302,33,"http://www.nyc.gov/html/bkncb2/html/home/home.shtml","3882-2015-ASWC","Unenclosed",205,10,20,"Application Review Completed",2015-08-20,2017-12-15,NA,2015-03-31,"Ready For Review","3/31/2015","Approved","3/31/2015",NA,NA,"Review Period Expired","5/27/2015","Recommendation Issued","5/27/2015","SWC Public Hearing",NA,"Review Period Expired","6/17/2015","Approved","7/8/2015","Issued","7/8/2015","BROOKLYN","ACTIVE","ACTIVE",94.71729,0,831,"Brooklyn","NY",36260,9089,"57.51%",109.175,"Brooklyn Heights & Fort Greene",71.7936,"Brooklyn","NY",40.695286,-73.98907,"Brooklyn Heights & Fort Greene",2015
"9",11201,"1101185-DCA","Active","MOULINAS LLC",NA,"128","SMITH ST","BROOKLYN","NY","Unenclosed",384,14,28,"40808118",40.68737001,-73.9901887,302,33,"http://www.nyc.gov/html/bkncb2/html/home/home.shtml","15671-2015-RSWC","Unenclosed",384,14,28,"Application Review Completed",2015-08-20,2017-04-15,NA,2015-04-10,"Ready For Review","4/13/2015","Approved","6/10/2015",NA,NA,"Review Period Expired","6/3/2015","Waived","6/5/2015",NA,NA,"Approved","7/10/2015","Approved","7/10/2015","Issued","7/15/2015","BROOKLYN","ACTIVE","ACTIVE",94.71729,0,831,"Brooklyn","NY",36260,9089,"57.51%",109.175,"Brooklyn Heights & Fort Greene",71.7936,"Brooklyn","NY",40.695286,-73.98907,"Brooklyn Heights & Fort Greene",2015
"10",11201,"2011210-DCA","Active","BREAD & BUTTER DEVELOPMENT GROUP, LLC","WATTY AND MEG","248","COURT ST","BROOKLYN","NY","Unenclosed",295,8,24,"41401447",40.6856356,-73.99450856,306,39,"http://www.brooklyncb6.org/","3673-2017-RSWC","Unenclosed",295,8,24,"Pending Review",2017-03-07,2017-04-08,"4/8/2017",2017-01-24,"Ready For Review","1/24/2017","Issued Temp Op Letter","3/23/2017","Pending Review","1/26/2017","Review Period Expired","3/22/2017","Waived","3/22/2017",NA,NA,"Filed Recommendation","3/23/2017","Pending Review",NA,"Pending Review",NA,"BROOKLYN","RENEWAL","ACTIVE",94.71729,0,831,"Brooklyn","NY",36260,9089,"57.51%",109.175,"Brooklyn Heights & Fort Greene",71.7936,"Brooklyn","NY",40.695286,-73.98907,"Brooklyn Heights & Fort Greene",2017
