"","ZIP","LICENSE_NBR","LIC_STATUS","BUSINESS_NAME","BUSINESS_NAME2","BUILDING","STREET","CITY","STATE","SWC_TYPE","SWC_SQ_FT","SWC_TABLES","SWC_CHAIRS","DOHMH","LATITUDE","LONGITUDE","COMMUNITY_DISTRICT","CITY_COUNCIL_DISTRICT","CD_URL","APP_ID","APP_SWC_TYPE","APP_SQ_FT","APP_TABLES","APP_CHAIRS","APP_STATUS","APP_STATUS_DATE","EXPIRATION_DATE","APP_TOO_DATE","SUBMIT_DATE","INTAKE","INTAKE_DD","DPQA","SEND_PACKAGE_DD","CP","CP_DD","CB","CB_DD","HEARING","HEARING_DD","HEARING_PUBLIC","HEARING_PUBLIC_DD","CC","CC_DD","MOO","MOO_DD","ISSUANCE","ISSUANCE_DD","BOROUGH","STATUS_CLASSIFICATION","STATUS_CLASSIFICATION2","percentile","superzip","rank","city.x","state.x","adultpop","households","college","income.","area","avg","city.y","state.y","latitude","longitude","nbh","SUBMIT_YEAR"
"1",10001,"1315480-DCA","Inactive","ALPHA FUSION INC.",NA,"365","W 34TH ST","NEW YORK","NY","Unenclosed",124,4,14,"41376950",40.75339277,-73.9954811,104,3,"http://www.nyc.gov/mcb4","5225-2013-RSWC","Unenclosed",124,4,14,"Pending Review",2016-11-04,2016-12-31,"12/31/2016",2016-06-23,"Ready For Review","12/9/2013","Issued Temp Op Letter","6/24/2016","Pending Review","12/9/2013","Review Period Expired","8/14/2016","Pending Review","8/14/2016","SWC Public Hearing","8/10/2016","Approved","4/17/2014","Approved","4/17/2014","Pending Review",NA,"MANHATTAN","RENEWAL","OLD",78.93413,0,3120,"Manhattan","NY",12961,2711,"50.16%",58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,"New York","NY",40.750742,-73.99653,"Midtown",2016
"2",10001,NA,"Inactive","AROKA HOSPITALITY LLC","AROKA","296","9TH AVE","NEW YORK","NY","Unenclosed",NA,8,16,NA,40.74927024,-73.99911216,104,3,"http://www.nyc.gov/mcb4","2353-2017-ASWC","Unenclosed",NA,8,16,"Pending Review",2017-02-28,NA,NA,2017-02-27,"Ready For Review","2/28/2017","Under Review","2/28/2017","Pending Review","2/28/2017","Pending Review","2/28/2017","Pending Review",NA,"SWC Public Hearing","4/19/2017","Pending Review",NA,"Pending Review",NA,"Pending Review",NA,"MANHATTAN","NEW","NEW",78.93413,0,3120,"Manhattan","NY",12961,2711,"50.16%",58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,"New York","NY",40.750742,-73.99653,"Midtown",2017
"3",10001,"1151949-DCA","Active","CALSHEA REST. CORP.","THE TRIPLE CROWN","330","7TH AVE","NEW YORK","NY","Unenclosed",158,4,12,"40402231",40.74776593,-73.99325832,105,3,"http://www.cb5.org","25711-2015-RSWC","Unenclosed",158,4,12,"Application Review Completed",2015-12-22,2017-09-15,"2/15/2016",2015-08-27,"Ready For Review","8/27/2015","Approved","10/26/2015","Pending Review","8/28/2015","Review Period Expired","10/18/2015","Waived","10/23/2015",NA,NA,"Approved","12/22/2015","Approved","12/22/2015","Issued","12/22/2015","MANHATTAN","ACTIVE","ACTIVE",78.93413,0,3120,"Manhattan","NY",12961,2711,"50.16%",58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,"New York","NY",40.750742,-73.99653,"Midtown",2015
"4",10001,"0920314-DCA","Active","LEKKAS RESTAURANT CORP.","GREEK CORNER","322","7TH AVE","NEW YORK","NY","Enclosed",159,5,18,"40372944",40.74748323,-73.99344241,105,3,"http://www.cb5.org","103-2013-RSWC","Enclosed",159,5,18,"Application Review Completed",2015-07-08,2017-05-15,NA,2015-06-10,NA,NA,"Approved",NA,"Proceed","3/6/2015","Review Period Expired","4/24/2015","Recommendation Issued","4/24/2015","SWC Public Hearing",NA,"Review Period Expired","6/1/2015","Approved","7/8/2015","Issued","7/8/2015","MANHATTAN","ACTIVE","ACTIVE",78.93413,0,3120,"Manhattan","NY",12961,2711,"50.16%",58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,"New York","NY",40.750742,-73.99653,"Midtown",2015
"5",10001,"1320701-DCA","Active","352 RESTAURANT CORP.","MUSTANG HARRY'S","352","7TH AVE","NEW YORK","NY","Unenclosed",200,6,12,"40539007",40.74835053,-73.99283239,105,3,"http://www.cb5.org","17033-2015-RSWC","Unenclosed",200,6,12,"Application Review Completed",2015-08-20,2017-04-15,NA,2015-06-26,"Ready For Review","4/21/2015","Approved","4/23/2015",NA,NA,"Recommend Approval","5/15/2015","Recommendation Issued","5/19/2015","SWC Public Hearing",NA,"Review Period Expired","6/9/2015","Approved","7/24/2015","Issued","8/6/2015","MANHATTAN","ACTIVE","ACTIVE",78.93413,0,3120,"Manhattan","NY",12961,2711,"50.16%",58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,"New York","NY",40.750742,-73.99653,"Midtown",2015
"6",10001,"2038458-DCA","Active","BEERCO RESTAURANT LLC",NA,"220","5TH AVE","NEW YORK","NY","Small Unenclosed",213,6,12,"50001000",40.743728,-73.98827495,105,2,"http://www.cb5.org","4146-2016-ASWC","Small Unenclosed",213,6,12,"Application Review Completed",2016-07-19,2018-12-15,NA,2016-04-04,"Ready For Review","4/5/2016","Approved","4/5/2016","Pending Review","4/5/2016","Review Period Expired","5/26/2016","Recommendation Issued","6/1/2016","SWC Public Hearing","5/25/2016","Review Period Expired","6/22/2016","Approved","7/19/2016","Issued","7/19/2016","MANHATTAN","ACTIVE","ACTIVE",78.93413,0,3120,"Manhattan","NY",12961,2711,"50.16%",58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,"New York","NY",40.750742,-73.99653,"Midtown",2016
"7",10001,"2038803-DCA","Active","100 SARDINES MANAGEMENT LLC","LUPULO","835","6TH AVE","NEW YORK","NY","Unenclosed",359,11,22,"50035940",40.74712892,-73.99012938,105,3,"http://www.cb5.org","3313-2016-ASWC","Unenclosed",359,11,22,"Application Review Completed",2016-07-26,2018-09-15,NA,2016-03-21,"Ready For Review","3/21/2016","Approved","6/14/2016","Pending Review","3/22/2016","Review Period Expired","5/12/2016","Recommendation Issued","5/16/2016","SWC Public Hearing","5/11/2016","Approved","7/26/2016","Approved","7/26/2016","Issued","7/26/2016","MANHATTAN","ACTIVE","ACTIVE",78.93413,0,3120,"Manhattan","NY",12961,2711,"50.16%",58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,"New York","NY",40.750742,-73.99653,"Midtown",2016
"8",10001,"1316751-DCA","Active","SULLIVAN RESTAURANT LLC","CO.","230","9TH AVE","NEW YORK","NY","Unenclosed",57,6,6,"41379196",40.74672861,-74,104,3,"http://www.nyc.gov/mcb4","17180-2015-RSWC","Unenclosed",57,6,6,"Application Review Completed",2015-10-10,2017-04-15,"11/6/2015",2015-04-22,"Ready For Review","4/22/2015","Approved","6/19/2015",NA,NA,"Review Period Expired","6/15/2015","Waived","6/15/2015",NA,NA,"Approved","10/2/2015","Approved","10/9/2015","Issued","10/10/2015","MANHATTAN","ACTIVE","ACTIVE",78.93413,0,3120,"Manhattan","NY",12961,2711,"50.16%",58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,"New York","NY",40.750742,-73.99653,"Midtown",2015
"9",10001,"2006948-DCA","Active","402 8TH AVE. REST. INC.","MOLLY WEE PUB","402","8TH AVE","NEW YORK","NY","Unenclosed",196,7,14,"40374277",40.74965441,-73.99509879,105,3,"http://www.cb5.org","22733-2016-RSWC","Unenclosed",196,7,14,"Application Review Completed",2017-03-01,2018-12-15,NA,2016-11-23,"Ready For Review","11/23/2016","Approved","1/20/2017","Pending Review","11/23/2016","Review Period Expired","1/15/2017","Waived","1/19/2017",NA,NA,"Approved","3/1/2017","Approved","3/1/2017","Issued","3/1/2017","MANHATTAN","ACTIVE","ACTIVE",78.93413,0,3120,"Manhattan","NY",12961,2711,"50.16%",58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,"New York","NY",40.750742,-73.99653,"Midtown",2016
"10",10001,"2038808-DCA","Active","IHI-NY LLC","ILILI","236","5TH AVE","NEW YORK","NY","Unenclosed",189,4,16,"412829946",40.74441688,-73.98778402,105,2,"http://www.cb5.org","4214-2016-ASWC","Unenclosed",189,4,16,"Application Review Completed",2016-07-14,2018-12-15,NA,2016-04-05,"Ready For Review","4/5/2016","Approved","6/14/2016","Pending Review","4/6/2016","Review Period Expired","5/27/2016","Recommendation Issued","6/6/2016","SWC Public Hearing","5/25/2016","Approved","7/14/2016","Approved","7/14/2016","Issued","7/14/2016","MANHATTAN","ACTIVE","ACTIVE",78.93413,0,3120,"Manhattan","NY",12961,2711,"50.16%",58.3699,"Chelsea, Clinton & Midtown Business District",85.76612,"New York","NY",40.750742,-73.99653,"Midtown",2016
